App;Participant;Mode;Condition;Session;Block;Keystrokes;Characters;Time_(s);MSD;Speed_(wpm);Error_rate_(%);KSPC
GraffitiExperiment;PM1;GRAFFITI;C00;S00;B01;26;24;87.604000;4;3.287521;15.384615;1.083333
GraffitiExperiment;PM1;GRAFFITI;C00;S00;B01;36;26;103.904000;0;3.002772;0.000000;1.384615
GraffitiExperiment;PM1;GRAFFITI;C00;S00;B01;54;26;110.399000;0;2.826113;0.000000;2.076923
GraffitiExperiment;PM1;GRAFFITI;C00;S00;B01;28;26;67.753000;0;4.604962;0.000000;1.076923
GraffitiExperiment;PM1;GRAFFITI;C00;S00;B01;26;26;54.585000;0;5.715856;0.000000;1.000000
GraffitiExperiment;PM2;GRAFFITI;C00;S00;B02;27;26;84.588000;3;3.688466;11.538462;1.038462
GraffitiExperiment;PM2;GRAFFITI;C00;S00;B02;30;26;99.591000;2;3.132813;7.692308;1.153846
GraffitiExperiment;PM2;GRAFFITI;C00;S00;B02;35;26;89.363000;2;3.491378;7.692308;1.346154
GraffitiExperiment;PM2;GRAFFITI;C00;S00;B02;26;26;89.884000;0;3.471141;0.000000;1.000000
GraffitiExperiment;PM2;GRAFFITI;C00;S00;B02;31;25;92.563000;4;3.241036;15.384615;1.240000
GraffitiExperiment;PM3;GRAFFITI;C00;S00;B03;31;25;95.883000;5;3.128813;19.230769;1.240000
GraffitiExperiment;PM3;GRAFFITI;C00;S00;B03;33;27;55.314000;9;5.857468;33.333333;1.222222
GraffitiExperiment;PM3;GRAFFITI;C00;S00;B03;32;26;41.970000;7;7.433881;26.923077;1.230769
GraffitiExperiment;PM3;GRAFFITI;C00;S00;B03;32;26;36.954000;5;8.442929;19.230769;1.230769
GraffitiExperiment;PM3;GRAFFITI;C00;S00;B03;37;26;43.141000;8;7.232099;30.769231;1.423077
GraffitiExperiment;PM4;GRAFFITI;C00;S00;B04;31;25;111.432000;1;2.692225;3.846154;1.240000
GraffitiExperiment;PM4;GRAFFITI;C00;S00;B04;31;25;95.684000;3;3.135320;11.538462;1.240000
GraffitiExperiment;PM4;GRAFFITI;C00;S00;B04;34;26;93.283000;1;3.344661;3.846154;1.307692
GraffitiExperiment;PM4;GRAFFITI;C00;S00;B04;33;27;80.574000;3;4.021148;11.111111;1.222222
GraffitiExperiment;PM4;GRAFFITI;C00;S00;B04;32;25;71.605000;6;4.189652;23.076923;1.280000
