App;Participant;Session;Block;Group;Condition;Entry_mode;Keystrokes;Characters;Time_(s);Speed_(wpm);TranscribedTextErrorRate(%);CorrectedTextErrorRate(%);KSPC
Graffiti;SP1;S99;B01;G99;C01;Graffiti;34;26;141.78;2.20;11.54;na;1.3077
Graffiti;SP1;S99;B01;G99;C01;Graffiti;40;26;159.70;1.95;15.38;na;1.5385
Graffiti;SP1;S99;B01;G99;C01;Graffiti;33;26;140.00;2.23;15.38;na;1.2692
Graffiti;SP1;S99;B01;G99;C01;Graffiti;33;26;132.19;2.36;0.00;na;1.2692
Graffiti;SP1;S99;B01;G99;C01;Graffiti;31;26;112.18;2.78;0.00;na;1.1923
Graffiti;SP2;S99;B02;G99;C01;Graffiti;40;26;142.42;2.19;11.54;na;1.5385
Graffiti;SP2;S99;B02;G99;C01;Graffiti;43;26;118.20;2.64;11.54;na;1.6538
Graffiti;SP2;S99;B02;G99;C01;Graffiti;46;26;127.43;2.45;7.69;na;1.7692
Graffiti;SP2;S99;B02;G99;C01;Graffiti;39;26;115.24;2.71;3.85;na;1.5000
Graffiti;SP2;S99;B02;G99;C01;Graffiti;42;25;98.03;3.06;11.54;na;1.6800
Graffiti;SP3;S99;B03;G99;C01;Graffiti;33;24;104.21;2.76;7.69;na;1.3750
Graffiti;SP3;S99;B03;G99;C01;Graffiti;34;27;94.43;3.43;14.81;na;1.2593
Graffiti;SP3;S99;B03;G99;C01;Graffiti;33;26;72.37;4.31;7.69;na;1.2692
Graffiti;SP3;S99;B03;G99;C01;Graffiti;27;26;48.93;6.38;3.85;na;1.0385
Graffiti;SP3;S99;B03;G99;C01;Graffiti;35;26;72.69;4.29;7.69;na;1.3462
Graffiti;SP4;S99;B04;G99;C01;Graffiti;27;26;56.56;5.52;7.69;na;1.0385
Graffiti;SP4;S99;B04;G99;C01;Graffiti;33;26;73.05;4.27;3.85;na;1.2692
Graffiti;SP4;S99;B04;G99;C01;Graffiti;30;25;58.87;5.10;15.38;na;1.2000
Graffiti;SP4;S99;B04;G99;C01;Graffiti;31;26;81.39;3.83;15.38;na;1.1923
Graffiti;SP4;S99;B04;G99;C01;Graffiti;32;26;61.78;5.05;11.54;na;1.2308
